"","unique.cellid","unique.tissueid","CGP.cellid","CCLE.cellid","GSK.cellid","GRAY.cellid","GNE.cellid","CTRP.cellid","CGP_EMTAB3610.cellid","GDSC_rnaseq.cellid","CCLE_exome.cellid","CCLE_rnaseq.cellid","GDSC.SNP.cellid","Ben_Neel.cellid","CTRPv2.cellid","gCSI.cellid","GDSC1000.cellid","NCI60.cellid","PRISM.cellid","CGP.tissueid","CCLE.tissueid","GSK.tissueid","GRAY.tissueid","GNE.tissueid","CTRP.tissueid","CGP_EMTAB3610.tissueid","CCLE_rnaseq.tissueid","GDSC.SNP.tissueid","Cescon.cellid","Ben_Neel.tissueid","COSMIC.tissueid","CTRPv2.tissueid","gCSI.tissueid","GDSC1000.tissueid","Cleveland.cellid","Cleveland.tissueid","FIMM.cellid","FIMM.tissueid","NCI60.tissueid","PRISM.tissueid","Cellosaurus.Accession.id","PharmacoDB.id","GDSC_Exome.cellid","unique.tissueid.fromstudies","Cellosaurus.Disease.Type","CellLine.Type","Metastatic","DepMap.cellid","MITMel.cellid","MITMel.tissueid","VISAGE.cellid","VISAGE.tissueid"
"1954","TCO-1 [Human cervical carcinoma]","Cervix","TCO-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thyroid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"thyroid",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TCO-1 [Human cervical carcinoma]19552021_",NA,"thyroid","Cervical keratinizing squamous cell carcinoma",NA,NA,NA,NA,NA,NA,NA
"1955","TE 125.T","Soft Tissue",NA,"TE 125.T",NA,NA,NA,NA,NA,NA,"TE_125.T","TE_125.T",NA,NA,NA,NA,NA,NA,NA,NA,"soft_tissue",NA,NA,NA,NA,NA,"soft_tissue",NA,NA,NA,NA,NA,NA,NA,"TE125T","soft_tissue",NA,NA,NA,NA,"CVCL_1740","TE125.T_1571_2019",NA,"soft_tissue","Rhabdomyosarcoma","Cancer cell line",NA,"ACH-000079",NA,NA,NA,NA
"1956","TE 159.T","Soft Tissue",NA,"TE 159.T",NA,NA,NA,NA,NA,NA,"TE_159.T","TE_159.T",NA,NA,NA,NA,NA,NA,NA,NA,"soft_tissue",NA,NA,NA,NA,NA,"soft_tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_1743","TE159.T_1572_2019",NA,"soft_tissue","Rhabdomyosarcoma","Cancer cell line",NA,"ACH-000175",NA,NA,NA,NA
"1957","TE 161.T","Lymphoid","TE-161-T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TE 161.T19582021_",NA,"haematopoietic_and_lymphoid_tissue","Burkitt lymphoma",NA,NA,NA,NA,NA,NA,NA
"1958","TE 381.T","Soft Tissue",NA,NA,"TE381T",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sarcoma",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TE 381.T19592021_",NA,"sarcoma","Rhabdomyosarcoma",NA,NA,NA,NA,NA,NA,NA
"1959","TE 441.T","Soft Tissue","TE-441-T","TE 441.T",NA,NA,NA,NA,"TE-441-T","TE-441-T","TE_441.T","TE_441.T","TE-441-T",NA,"TE441T",NA,"TE-441-T",NA,NA,"soft_tissue","soft_tissue",NA,NA,NA,NA,"soft_tissue","soft_tissue","soft_tissue",NA,NA,NA,"soft_tissue",NA,"soft_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1754","TE441.T_1573_2019","TE-441-T","soft_tissue","Rhabdomyosarcoma","Cancer cell line",NA,"ACH-000772",NA,NA,NA,NA
"1960","TE 617.T","Soft Tissue",NA,"TE 617.T",NA,NA,NA,NA,NA,NA,"TE_617.T","TE_617.T",NA,NA,"TE617T",NA,NA,NA,NA,NA,"soft_tissue",NA,NA,NA,NA,NA,"soft_tissue",NA,NA,NA,NA,"soft_tissue",NA,NA,"TE617T","soft_tissue",NA,NA,NA,NA,"CVCL_1755","TE617.T_1574_2019",NA,"soft_tissue","Rhabdomyosarcoma","Cancer cell line",NA,"ACH-000051",NA,NA,NA,NA
"1961","TE-1","Esophagus/Stomach","TE-1","TE-1",NA,NA,NA,NA,"TE-1",NA,"TE-1","TE-1","TE-1",NA,"TE1",NA,"TE-1",NA,"TE1_OESOPHAGUS","oesophagus","oesophagus",NA,NA,NA,NA,"Esophagus","oesophagus","aero_digestive_tract",NA,NA,"oesophagus","oesophagus",NA,"oesophagus","TE1","oesophagus",NA,NA,NA,"esophagus","CVCL_1759","TE1_1575_2019","TE-1","oesophagus","Esophageal squamous cell carcinoma","Cancer cell line",NA,"ACH-000647",NA,NA,NA,NA
"1962","TE-10","Esophagus/Stomach","TE-10","TE-10",NA,NA,NA,NA,"TE-10","TE-10","TE-10","TE-10","TE-10",NA,"TE10",NA,"TE-10",NA,"TE10_OESOPHAGUS","oesophagus","oesophagus",NA,NA,NA,NA,"Esophagus","oesophagus","aero_digestive_tract",NA,NA,"oesophagus","oesophagus",NA,"oesophagus","TE10","oesophagus",NA,NA,NA,"esophagus","CVCL_1760","TE10_1576_2019","TE-10","oesophagus","Esophageal squamous cell carcinoma","Cancer cell line",NA,"ACH-000318",NA,NA,NA,NA
"1963","TE-11","Esophagus/Stomach","TE-11","TE-11",NA,NA,NA,NA,"TE-11",NA,"TE-11","TE-11","TE-11",NA,"TE11",NA,"TE-11",NA,"TE11_OESOPHAGUS","oesophagus","oesophagus",NA,NA,NA,NA,"Esophagus","oesophagus","aero_digestive_tract",NA,NA,"oesophagus","oesophagus",NA,"oesophagus","TE11","oesophagus",NA,NA,NA,"esophagus","CVCL_1761","TE11_1577_2019","TE-11","oesophagus","Esophageal squamous cell carcinoma","Cancer cell line",NA,"ACH-000488",NA,NA,NA,NA
"1964","TE-12","Esophagus/Stomach","TE-12",NA,NA,NA,NA,NA,"TE-12","TE-12",NA,NA,"TE-12",NA,NA,NA,"TE-12",NA,NA,"oesophagus",NA,NA,NA,NA,NA,"Esophagus",NA,"aero_digestive_tract",NA,NA,"oesophagus",NA,NA,"oesophagus",NA,NA,NA,NA,NA,NA,"CVCL_1762","TE12_1578_2019","TE-12","oesophagus","Esophageal squamous cell carcinoma","Cancer cell line",NA,"ACH-002311",NA,NA,NA,NA
"1965","TE-14","Esophagus/Stomach",NA,"TE-14",NA,NA,NA,NA,NA,NA,"TE-14","TE-14",NA,NA,"TE14",NA,NA,NA,"TE14_OESOPHAGUS",NA,"oesophagus",NA,NA,NA,NA,NA,"oesophagus",NA,NA,NA,"oesophagus","oesophagus",NA,NA,"TE14","oesophagus",NA,NA,NA,"esophagus","CVCL_3336","TE14_1579_2019",NA,"oesophagus","Esophageal squamous cell carcinoma","Cancer cell line",NA,"ACH-000726",NA,NA,NA,NA
"1966","TE-15","Esophagus/Stomach","TE-15","TE-15",NA,NA,NA,NA,"TE-15",NA,"TE-15","TE-15","TE-15",NA,"TE15",NA,"TE-15",NA,NA,"oesophagus","oesophagus",NA,NA,NA,NA,"Esophagus","oesophagus","aero_digestive_tract",NA,NA,"oesophagus","oesophagus",NA,"oesophagus","TE15","oesophagus",NA,NA,NA,NA,"CVCL_1763","TE15_1580_2019","TE-15","oesophagus","Esophageal squamous cell carcinoma","Cancer cell line",NA,"ACH-000353",NA,NA,NA,NA
"1967","TE-4","Esophagus/Stomach",NA,"TE-4",NA,NA,NA,NA,"TE-4","TE-4","TE-4","TE-4","TE-4",NA,"TE4",NA,"TE-4",NA,"TE4_OESOPHAGUS",NA,"oesophagus",NA,NA,NA,NA,"Esophagus","oesophagus",NA,NA,NA,"oesophagus","oesophagus",NA,"oesophagus","TE4","oesophagus",NA,NA,NA,"esophagus","CVCL_3337","TE4_1581_2019","TE-4","oesophagus","Esophageal squamous cell carcinoma","Cancer cell line",NA,"ACH-000917",NA,NA,NA,NA
"1968","TE-5","Esophagus/Stomach","TE-5","TE-5",NA,NA,NA,NA,"TE-5",NA,"TE-5","TE-5","TE-5",NA,"TE5",NA,"TE-5",NA,"TE5_OESOPHAGUS","oesophagus","oesophagus",NA,NA,NA,NA,"Esophagus","oesophagus","aero_digestive_tract",NA,NA,"oesophagus","oesophagus",NA,"oesophagus",NA,NA,NA,NA,NA,"esophagus","CVCL_1764","TE5_1582_2019","TE-5","oesophagus","Esophageal squamous cell carcinoma","Cancer cell line",NA,"ACH-000408",NA,NA,NA,NA
"1969","TE-6","Esophagus/Stomach","TE-6","TE-6",NA,NA,NA,NA,"TE-6","TE-6","TE-6","TE-6","TE-6",NA,"TE6",NA,"TE-6",NA,"TE6_OESOPHAGUS","oesophagus","oesophagus",NA,NA,NA,NA,"Esophagus","oesophagus","aero_digestive_tract",NA,NA,"oesophagus","oesophagus",NA,"oesophagus","TE6","oesophagus",NA,NA,NA,"esophagus","CVCL_1765","TE6_1583_2019","TE-6","oesophagus","Esophageal squamous cell carcinoma","Cancer cell line",NA,"ACH-000605",NA,NA,NA,NA
"1970","TE-8","Esophagus/Stomach","TE-8","TE-8",NA,NA,NA,NA,"TE-8","TE-8","TE-8","TE-8","TE-8",NA,"TE8",NA,"TE-8",NA,"TE8_OESOPHAGUS","oesophagus","oesophagus",NA,NA,NA,NA,"Esophagus","oesophagus","aero_digestive_tract",NA,NA,"oesophagus","oesophagus",NA,"oesophagus","TE8","oesophagus",NA,NA,NA,"esophagus","CVCL_1766","TE8_1584_2019","TE-8","oesophagus","Esophageal squamous cell carcinoma","Cancer cell line",NA,"ACH-000452",NA,NA,NA,NA
"1971","TE-9","Esophagus/Stomach","TE-9","TE-9",NA,NA,NA,NA,"TE-9",NA,"TE-9","TE-9","TE-9",NA,"TE9",NA,"TE-9",NA,"TE9_OESOPHAGUS","oesophagus","oesophagus",NA,NA,NA,NA,"Esophagus","oesophagus","aero_digestive_tract",NA,NA,"oesophagus","oesophagus",NA,"oesophagus","TE9","oesophagus",NA,NA,NA,"esophagus","CVCL_1767","TE9_1585_2019","TE-9","oesophagus","Esophageal squamous cell carcinoma","Cancer cell line",TRUE,"ACH-000694",NA,NA,NA,NA
"1972","TE85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TE85",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Bone/Muscle",NA,NA,"TE8519732021_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1973","TEN","Uterus",NA,"TEN",NA,NA,NA,NA,NA,NA,"TEN","TEN",NA,NA,NA,NA,NA,NA,"TEN_ENDOMETRIUM",NA,"endometrium",NA,NA,NA,NA,NA,"endometrium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"uterus","CVCL_E063","TEN_1586_2019",NA,"endometrium","Endometrial carcinoma","Cancer cell line",NA,"ACH-000397",NA,NA,NA,NA
"1974","TF-1","Myeloid",NA,"TF-1",NA,NA,NA,NA,NA,NA,"TF-1","TF-1",NA,NA,"TF1","TF-1",NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_0559","TF1_1588_2019",NA,"haematopoietic_and_lymphoid_tissue","Erythroleukemia","Cancer cell line",NA,"ACH-000387",NA,NA,NA,NA
"1975","TFK-1","Biliary Tract",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2214","TFK-119762021_",NA,NA,NA,NA,NA,"ACH-001673",NA,NA,NA,NA
"1976","TGBC11TKB","Esophagus/Stomach","TGBC11TKB","TGBC11TKB",NA,NA,NA,NA,"TGBC11TKB","TGBC11TKB","TGBC11TKB","TGBC11TKB","TGBC11TKB",NA,NA,NA,"TGBC11TKB",NA,NA,"stomach","stomach",NA,NA,NA,NA,"Stomach","stomach","digestive_system",NA,NA,"stomach",NA,NA,"stomach",NA,NA,NA,NA,NA,NA,"CVCL_1768","TGBC11TKB_1589_2019","TGBC11TKB","stomach","Gastric carcinoma","Cancer cell line",TRUE,"ACH-000949",NA,NA,NA,NA
"1977","TGBC18TKB","Ampulla of Vater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_3338","TGBC18TKB19782021_",NA,NA,NA,NA,NA,"ACH-002023",NA,NA,NA,NA
"1978","TGBC1TKB","Biliary Tract","TGBC1TKB",NA,NA,NA,NA,NA,"TGBC1TKB","TGBC1TKB",NA,NA,"TGBC1TKB",NA,NA,NA,"TGBC1TKB",NA,NA,"biliary_tract",NA,NA,NA,NA,NA,"biliary_tract",NA,"digestive_system",NA,NA,"biliary_tract",NA,NA,"biliary_tract",NA,NA,NA,NA,NA,NA,"CVCL_1769","TGBC1TKB_1590_2019","TGBC1TKB","biliary_tract","Undifferentiated gallbladder carcinoma","Cancer cell line",TRUE,"ACH-001861",NA,NA,NA,NA
"1979","TGBC24TKB","Biliary Tract","TGBC24TKB",NA,NA,NA,NA,NA,"TGBC24TKB","TGBC24TKB",NA,NA,"TGBC24TKB",NA,NA,NA,"TGBC24TKB",NA,NA,"biliary_tract",NA,NA,NA,NA,NA,"Biliary",NA,"digestive_system",NA,NA,"biliary_tract",NA,NA,"biliary_tract",NA,NA,NA,NA,NA,NA,"CVCL_1770","TGBC24TKB_1591_2019","TGBC24TKB","biliary_tract","Gallbladder carcinoma","Cancer cell line",TRUE,"ACH-002312",NA,NA,NA,NA
"1980","TGBC52TKB","Ampulla of Vater",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_H695","TGBC52TKB19812021_",NA,NA,NA,NA,NA,"ACH-001862",NA,NA,NA,NA
"1981","TGW","Peripheral Nervous System","TGW",NA,NA,NA,NA,NA,"TGW","TGW",NA,NA,"TGW",NA,NA,NA,"TGW",NA,NA,"autonomic_ganglia",NA,NA,NA,NA,NA,"autonomic_ganglia",NA,"nervous_system",NA,NA,"autonomic_ganglia",NA,NA,"autonomic_ganglia",NA,NA,NA,NA,NA,NA,"CVCL_1771","TGW_1592_2019","TGW","autonomic_ganglia","Adrenal gland neuroblastoma","Cancer cell line",NA,"ACH-001674",NA,NA,NA,NA
"1982","THP-1","Myeloid","THP-1","THP-1","THP1",NA,"THP-1","THP1","THP-1",NA,"THP-1","THP-1","THP-1",NA,"THP1","THP-1","THP-1",NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue","hematopoietic_and_lymphatic_system",NA,"Blood","HEMATOPOIETIC_AND_LYMPHOID_TISSUE","Blood","haematopoietic_and_lymphoid_tissue","blood",NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid_tissue",NA,"haematopoietic_and_lymphoid_tissue",NA,NA,"THP1","blood",NA,NA,"CVCL_0006","THP1_1593_2019","THP-1","haematopoietic_and_lymphoid_tissue","Childhood acute monocytic leukemia","Cancer cell line",NA,"ACH-000146",NA,NA,NA,NA
"1983","TIG-3 TD","Other",NA,"TIG-3 TD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"lung",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_V617","TIG3TD_1595_2019",NA,"lung",NA,"Telomerase immortalized cell line",NA,"ACH-001207",NA,NA,NA,NA
"1984","TK [Human B-cell lymphoma]","Lymphoid",NA,NA,NA,NA,"TK",NA,"TK","TK",NA,NA,"TK",NA,NA,"TK","TK",NA,NA,NA,NA,NA,NA,"Blood",NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_3216","TK_1596_2019","TK","haematopoietic_and_lymphoid_tissue","B-cell non-Hodgkin lymphoma","Cancer cell line",NA,"ACH-002313",NA,NA,NA,NA
"1985","TK-10","Kidney","TK10",NA,"TK10",NA,"TK-10",NA,"TK10","TK10",NA,NA,"TK10",NA,NA,"TK-10","TK10","TK-10///RE.TK.10",NA,"kidney",NA,"kidney",NA,"Kidney",NA,"kidney",NA,"kidney",NA,NA,"kidney",NA,"Kidney","kidney",NA,NA,NA,NA,"Renal Cancer///Renal",NA,"CVCL_1773","TK10_1597_2019","TK10","kidney","Clear cell renal cell carcinoma","Cancer cell line",NA,"ACH-001208",NA,NA,NA,NA
"1986","TK-164","Kidney",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TK-164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Renal Cancer",NA,"CVCL_8324","TK-16419872021_",NA,NA,"Clear Cell Renal Cell Carcinoma","Cancer cell line",NA,NA,NA,NA,NA,NA
"1987","TKKK","Biliary Tract",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_5599","TKKK19882021_",NA,NA,NA,NA,NA,"ACH-001863",NA,NA,NA,NA
"1988","TM-31","CNS/Brain",NA,"TM-31",NA,NA,NA,NA,NA,NA,"TM-31","TM-31",NA,NA,"TM31",NA,NA,NA,"TM31_CENTRAL_NERVOUS_SYSTEM",NA,"central_nervous_system",NA,NA,NA,NA,NA,"central_nervous_system",NA,NA,NA,NA,"central_nervous_system",NA,NA,"TM31","central_nervous_system",NA,NA,NA,"central_nervous_system","CVCL_6735","TM31_1598_2019",NA,"central_nervous_system","Astrocytoma","Cancer cell line",NA,"ACH-000592",NA,NA,NA,NA
"1989","TMD8","Lymphoid",NA,NA,NA,NA,"TMD8",NA,NA,NA,NA,NA,NA,NA,NA,"TMD8",NA,NA,NA,NA,NA,NA,NA,"Blood",NA,NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_A442","TMD8_1600_2019",NA,"haematopoietic_and_lymphoid_tissue","Diffuse large B-cell lymphoma activated B-cell type","Cancer cell line",NA,NA,NA,NA,NA,NA
"1990","TMK-1","Esophagus/Stomach",NA,NA,NA,NA,NA,NA,NA,"TMK-1",NA,NA,"TMK-1",NA,NA,NA,"TMK-1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"stomach",NA,NA,"stomach",NA,NA,NA,NA,NA,NA,"CVCL_4384","TMK1_1601_2019","TMK-1","stomach","Gastric adenocarcinoma","Cancer cell line",TRUE,"ACH-002202",NA,NA,NA,NA
"1991","TO 175.T","Lymphoid",NA,"TO 175.T","TO175T",NA,NA,NA,NA,NA,"TO_175.T","TO_175.T",NA,NA,NA,NA,NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue","haematopoietic_and_lymphoid",NA,NA,NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_3806","TO175.T_1602_2019",NA,"haematopoietic_and_lymphoid_tissue","Hodgkin lymphoma","Cancer cell line",NA,"ACH-000125",NA,NA,NA,NA
"1992","TO14","Ovary/Fallopian Tube",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_2734","TO1419932021_",NA,NA,NA,NA,NA,"ACH-001403",NA,NA,NA,NA
"1993","TOV-112D","Ovary/Fallopian Tube",NA,"TOV-112D",NA,NA,"TOV-112D",NA,"TOV-112D",NA,"TOV-112D","TOV-112D","TOV-112D",NA,"TOV112D","TOV-112D","TOV-112D",NA,"TOV112D_OVARY",NA,"ovary",NA,NA,"Ovary",NA,"Ovary","ovary",NA,NA,NA,"ovary","ovary","Ovary","ovary","TOV112D","ovary",NA,NA,NA,"ovary","CVCL_3612","TOV112D_1604_2019","TOV-112D","ovary","Ovarian endometrioid adenocarcinoma","Cancer cell line",NA,"ACH-000048",NA,NA,NA,NA
"1994","TOV-21G","Ovary/Fallopian Tube",NA,"TOV-21G",NA,NA,NA,NA,"TOV-21G",NA,"TOV-21G","TOV-21G","TOV-21G",NA,"TOV21G","TOV-21G","TOV-21G",NA,"TOV21G_OVARY",NA,"ovary",NA,NA,NA,NA,"Ovary","ovary",NA,NA,NA,"ovary","ovary","Ovary","ovary","TOV21G","ovary",NA,NA,NA,"ovary","CVCL_3613","TOV21G_1605_2019","TOV-21G","ovary","Ovarian clear cell adenocarcinoma","Cancer cell line",NA,"ACH-000885",NA,NA,NA,NA
"1995","TSU-PRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TSU-PRI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Prostate Cancer",NA,NA,"TSU-PRI19962021_",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1996","TT","Thyroid","TT","TT","TT",NA,NA,NA,"TT",NA,"TT","TT","TT",NA,"TTTHYROID",NA,"TT",NA,"TT_THYROID","thyroid","thyroid","thyroid_gland",NA,NA,NA,"thyroid","thyroid","thyroid",NA,NA,"thyroid","thyroid",NA,"thyroid",NA,NA,NA,NA,NA,"thyroid","CVCL_1774","TT_1606_2019","TT","thyroid","Hereditary thyroid gland medullary carcinoma","Cancer cell line",NA,"ACH-001321",NA,NA,NA,NA
"1997","TT1TKB","Bowel",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_8764","TT1TKB19982021_",NA,NA,NA,NA,NA,"ACH-002025",NA,NA,NA,NA
"1998","TT2609-C02","Thyroid",NA,"TT2609-C02",NA,NA,NA,NA,"TT2609-C02","TT2609-C02","TT2609-C02","TT2609-C02","TT2609-C02",NA,"TT2609C02",NA,"TT2609-C02",NA,"TT2609C02_THYROID",NA,"thyroid",NA,NA,NA,NA,"Thyroid","thyroid",NA,NA,NA,"thyroid","thyroid",NA,"thyroid","TT2609C02","thyroid",NA,NA,NA,"thyroid","CVCL_2218","TT2609C02_1607_2019","TT2609-C02","thyroid","Thyroid gland follicular carcinoma","Cancer cell line",NA,"ACH-000716",NA,NA,NA,NA
"1999","TTC-1240","Kidney",NA,"TTC1240",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"soft_tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_8002","TTC-124020002021_",NA,"soft_tissue",NA,"Cancer cell line",TRUE,"ACH-001210",NA,NA,NA,NA
"2000","TTC-442","Soft Tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_B255","TTC-44220012021_",NA,NA,NA,NA,NA,"ACH-001750",NA,NA,NA,NA
"2001","TTC-466","Bone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_A444","TTC-46620022021_",NA,NA,NA,NA,NA,"ACH-001206",NA,NA,NA,NA
"2002","TTC-549","Other",NA,"TTC549",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"soft_tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_8005","TTC-54920032021_",NA,"soft_tissue",NA,"Cancer cell line",NA,"ACH-001211",NA,NA,NA,NA
"2003","TTC-642","Other",NA,"TTC642",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"soft_tissue",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_8006","TTC-64220042021_",NA,"soft_tissue",NA,"Cancer cell line",NA,"ACH-001212",NA,NA,NA,NA
"2004","TTC-709","Other",NA,"TTC709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TTC709",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_8007","TTC709_1608_2019",NA,NA,"Extrarenal rhabdoid tumor","Cancer cell line",NA,"ACH-000597",NA,NA,NA,NA
"2005","TUHR10TKB","Kidney",NA,"TUHR10TKB",NA,NA,NA,NA,NA,NA,"TUHR10TKB","TUHR10TKB",NA,NA,"TUHR10TKB",NA,NA,NA,NA,NA,"kidney",NA,NA,NA,NA,NA,"kidney",NA,NA,NA,NA,"kidney",NA,NA,"TUHR10TKB","kidney",NA,NA,NA,NA,"CVCL_5952","TUHR10TKB_1610_2019",NA,"kidney","Renal cell carcinoma","Cancer cell line",NA,"ACH-000459",NA,NA,NA,NA
"2006","TUHR14TKB","Kidney",NA,"TUHR14TKB",NA,NA,NA,NA,NA,NA,"TUHR14TKB","TUHR14TKB",NA,NA,"TUHR14TKB",NA,NA,NA,NA,NA,"kidney",NA,NA,NA,NA,NA,"kidney",NA,NA,NA,NA,"kidney",NA,NA,NA,NA,NA,NA,NA,NA,"CVCL_5953","TUHR14TKB_1611_2019",NA,"kidney","Renal cell carcinoma","Cancer cell line",NA,"ACH-000317",NA,NA,NA,NA
"2007","TUHR4TKB","Kidney",NA,"TUHR4TKB",NA,NA,NA,NA,NA,NA,"TUHR4TKB","TUHR4TKB",NA,NA,"TUHR4TKB",NA,NA,NA,"TUHR4TKB_KIDNEY",NA,"kidney",NA,NA,NA,NA,NA,"kidney",NA,NA,NA,NA,"kidney",NA,NA,NA,NA,NA,NA,NA,"kidney","CVCL_5957","TUHR4TKB_1612_2019",NA,"kidney","Renal cell carcinoma","Cancer cell line",NA,"ACH-000495",NA,NA,NA,NA
"2008","TUR","Myeloid","TUR",NA,NA,NA,NA,NA,"TUR","TUR",NA,NA,"TUR",NA,NA,NA,"TUR",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,"Blood",NA,"blood",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,"haematopoietic_and_lymphoid_tissue",NA,NA,NA,NA,NA,NA,"CVCL_1775","TUR_1613_2019","TUR","haematopoietic_and_lymphoid_tissue","Adult acute monocytic leukemia","Cancer cell line",NA,"ACH-002314",NA,NA,NA,NA
